index,row,col,file
0,0,0,304.png
1,0,1,305.png
2,0,2,306.png
3,0,3,307.png
4,0,4,308.png
5,0,5,309.png
6,0,6,312.png
7,0,7,336.png
8,0,8,338.png
9,0,9,342.png
10,0,10,343.png
11,0,11,346.png
12,1,0,352.png
13,1,1,355.png
14,1,2,356.png
15,1,3,357.png
16,1,4,358.png
17,1,5,359.png
18,1,6,360.png
19,1,7,361.png
20,1,8,362.png
21,1,9,363.png
22,1,10,365.png
23,1,11,366.png
24,2,0,367.png
25,2,1,368.png
26,2,2,369.png
27,2,3,370.png
28,2,4,371.png
29,2,5,372.png
30,2,6,379.png
31,2,7,380.png
32,2,8,405.png
33,2,9,701.png
34,2,10,702.png
35,2,11,751.png
36,3,0,823.png
37,3,1,1117.png
38,3,2,7000.png
39,3,3,8013.png
40,3,4,8019.png
41,3,5,8020.png
42,3,6,8021.png
43,3,7,8022.png
44,3,8,8034.png
45,3,9,8049.png
46,3,10,8059.png
47,3,11,8060.png
48,4,0,8202.png
49,4,1,8203.png
50,4,2,8204.png
51,4,3,8205.png
52,4,4,8206.png
53,4,5,8208.png
54,4,6,8209.png
55,4,7,8210.png
56,4,8,8213.png
57,4,9,8218.png
58,4,10,8219.png
59,4,11,8220.png
60,5,0,8221.png
61,5,1,8234.png
62,5,2,8236.png
63,5,3,8238.png
64,5,4,8241.png
65,5,5,8263.png
66,5,6,8264.png
67,5,7,8265.png
68,5,8,8266.png
69,5,9,8285.png
70,5,10,8289.png
71,5,11,9650.png
72,6,0,9786.png
73,6,1,9787.png
74,6,2,9788.png
75,6,3,9789.png
76,6,4,9795.png
77,6,5,10226.png
78,6,6,10250.png
79,6,7,10262.png
80,6,8,10268.png
81,6,9,10540.png
82,6,10,10541.png
83,6,11,10628.png
84,7,0,10629.png
85,7,1,10630.png
86,7,2,10631.png
87,7,3,10632.png
88,7,4,10633.png
89,7,5,10634.png
90,7,6,10732.png
91,7,7,10733.png
92,7,8,10734.png
93,7,9,10736.png
94,7,10,10764.png
95,7,11,10765.png
96,8,0,10766.png
97,8,1,10767.png
98,8,2,10772.png
99,8,3,10773.png
100,8,4,10774.png
101,8,5,10775.png
102,8,6,10776.png
103,8,7,10777.png
104,8,8,10778.png
105,8,9,10779.png
106,8,10,10860.png
107,8,11,10861.png
108,9,0,10862.png
109,9,1,10864.png
110,9,2,10959.png
111,9,3,10960.png
112,9,4,15062.png
113,9,5,15383.png
114,9,6,15388.png
115,9,7,15389.png
