npcId,name,bodyId,inCriaturas,giveExp,grh1,grh2,grh3,grh4,file1,file2,file3,file4
2,Gallo,5,1,8,4517,4519,4516,4518,701,701,701,701
3,Cerdo,6,1,15,4521,4523,4520,4522,702,702,702,702
4,Vaca,366,1,20,22727,22729,22726,22728,10634,10634,10634,10634
74,Águila,59,1,75,4731,4733,4730,4732,355,355,355,355
75,Cuervo,68,1,55,4735,4737,4734,4736,356,356,356,356
76,Hormiga,70,1,5,4743,4745,4742,4744,358,358,358,358
77,Rata,71,1,50,4747,4749,4746,4748,359,359,359,359
78,Oso pardo,73,1,550,4755,4757,4754,4756,366,368,365,367
79,Tortuga gigante,74,1,350,4759,4761,4758,4760,370,372,369,371
89,Fuego fatuo,144,1,1500,275,275,275,275,405,405,405,405
91,Gran Águila,59,1,400,4731,4733,4730,4732,355,355,355,355
92,Elemental de agua,154,1,0,12289,12291,12288,12290,8210,8210,8210,8210
93,Elemental de fuego,153,1,0,12253,12255,12252,12254,8209,8209,8209,8209
94,Elemental de tierra,152,1,0,12217,12219,12216,12218,8208,8208,8208,8208
95,Jabalí,150,1,600,12141,12143,12140,12142,8206,8206,8206,8206
96,Tigre,147,1,120,12049,12051,12048,12050,8203,8203,8203,8203
97,Pato,88,1,60,10503,10505,10502,10504,751,751,751,751
126,Fuego fatuo,144,1,0,275,275,275,275,405,405,405,405
127,Elemental de agua,154,1,0,12289,12291,12288,12290,8210,8210,8210,8210
128,Elemental de fuego,153,1,0,12253,12255,12252,12254,8209,8209,8209,8209
129,Elemental de tierra,152,1,0,12217,12219,12216,12218,8208,8208,8208,8208
130,Tigre,147,1,0,12049,12051,12048,12050,8203,8203,8203,8203
131,Oso pardo,73,1,0,4755,4757,4754,4756,366,368,365,367
132,Ely,143,1,0,860,862,859,861,823,823,823,823
133,Lobo,10,1,0,4537,4539,4536,4538,305,305,305,305
145,Ent,273,1,0,16747,16748,16746,16749,9650,9650,9650,9650
135,Angel,143,1,0,860,862,859,861,823,823,823,823
136,Árbol,26,1,0,7000,7000,7000,7000,7000,7000,7000,7000
137,Sirviente invisible,26,1,0,7000,7000,7000,7000,7000,7000,7000,7000
146,Fuego fatuo,144,1,0,275,275,275,275,405,405,405,405
155,Ent,273,1,0,16747,16748,16746,16749,9650,9650,9650,9650
163,Bardo,17,1,320,4564,4564,4564,4564,312,312,312,312
10,Bardo,17,0,320,4564,4564,4564,4564,312,312,312,312
500,Murciélago,9,0,20,4533,4535,4532,4534,304,304,304,304
501,Lobo,10,0,115,4537,4539,4536,4538,305,305,305,305
502,Zombie,11,0,295,4541,4543,4540,4542,306,306,306,306
503,Esqueleto,12,0,66,4545,4547,4544,4546,307,307,307,307
504,Serpiente,13,0,25,4549,4551,4548,4550,308,308,308,308
505,Goblin,14,0,160,4553,4555,4552,4554,309,309,309,309
506,Gallo Salvaje,5,0,16,4517,4519,4516,4518,701,701,701,701
507,Lord Zombie,11,0,460,4541,4543,4540,4542,306,306,306,306
508,Esqueleto Guerrero,12,0,270,4545,4547,4544,4546,307,307,307,307
510,Araña Gigante,42,0,1450,4642,4644,4641,4643,336,336,336,336
513,Zombie,11,0,241,4541,4543,4540,4542,306,306,306,306
514,Esqueleto,12,0,51,4545,4547,4544,4546,307,307,307,307
515,Serpiente,13,0,18,4549,4551,4548,4550,308,308,308,308
516,Goblin,14,0,112,4553,4555,4552,4554,309,309,309,309
517,Gallo Salvaje,5,0,17,4517,4519,4516,4518,701,701,701,701
518,Lord Zombie,11,0,391,4541,4543,4540,4542,306,306,306,306
519,Esqueleto Guerrero,12,0,187,4545,4547,4544,4546,307,307,307,307
520,Dragon Rojo,358,0,4000,22382,22384,22381,22383,10250,10268,10226,10262
521,Araña Gigante,42,0,2420,4642,4644,4641,4643,336,336,336,336
522,Orco,43,0,505,4646,4648,4645,4647,338,338,338,338
523,Orco,43,0,505,4646,4648,4645,4647,338,338,338,338
524,Jefe Orco,43,0,680,4646,4648,4645,4647,338,338,338,338
525,Águila,9,0,18,4533,4535,4532,4534,304,304,304,304
526,Araña Gigante,42,0,4861,4642,4644,4641,4643,336,336,336,336
