objId,name,grhId,fileNum,hasBmp
4,Árbol,7000,7000,1
6,Árbol,7002,7002,1
48,Árbol,643,644,1
50,Árbol,647,648,1
148,Árbol,7002,7002,1
150,Árbol,7222,7004,1
152,Árbol,7224,7007,1
154,Palmera,7226,7008,1
907,Árbol,14950,932,1
909,Árbol,14952,934,1
939,Árbol,14954,936,1
941,Árbol,14956,938,1
943,Árbol,14958,940,1
946,Árbol,14961,943,1
948,Árbol,14963,945,1
952,Árbol,14967,949,1
954,Árbol,14969,952,1
956,Árbol,14971,954,1
958,Árbol,14973,956,1
960,Árbol,14975,958,1
963,Árbol,14978,961,1
967,Árbol,14982,965,1
969,Árbol,14984,967,1
972,Árbol,14987,970,1
47,Árbol,26075,15131,1
371,Árbol,26077,15133,1
380,Árbol,26079,15135,1
521,Árbol,26081,15137,1
